"name","country.etc","pop","lat","long","capital"
"Muhayyam Janin","Palestine",12198,32.47,35.29,0
"Muhayyam Qalandiya","Palestine",8619,31.87,35.23,0
"Muhayyam Tulkarm","Palestine",13485,32.32,35.03,0
"Nablus","Palestine",133097,32.23,35.26,0
"Nahhalin","Palestine",6407,31.68,35.12,0
"Nazlat 'Isa","Palestine",2500,32.42,35.06,0
"Ni'lin","Palestine",4748,31.95,35.02,0
"Nuba","Palestine",4470,31.6,35.03,0
"Nur Sams","Palestine",7884,32.32,35.07,0
"Qabalan","Palestine",7242,32.1,35.28,0
"Qabatiyah","Palestine",19669,32.43,35.26,0
"Qaffin","Palestine",8732,32.43,35.08,0
"Qalqilyah","Palestine",44324,32.2,34.97,0
"Qarawat Bani Hassan","Palestine",3712,32.13,35.1,0
"Qarawat Bani Zayd","Palestine",2765,32.05,35.13,0
"Qaryut","Palestine",2467,32.07,35.3,0
"Qatannah","Palestine",7128,31.83,35.1,0
"Qibya","Palestine",4926,31.98,35.02,0
"Qusrah","Palestine",4439,32.08,35.33,0
"Raba","Palestine",3037,32.39,35.38,0
"Rafah","Palestine",127370,31.29,34.25,0
"Rafat","Palestine",2015,32.08,35.04,0
"Rafat","Palestine",2020,31.87,35.2,0
"Ram Allah","Palestine",25432,31.9,35.2,0
"Ramin","Palestine",2100,32.28,35.15,0
"Rammun","Palestine",3210,31.93,35.3,0
"Rantis","Palestine",2892,32.03,35.02,0
"Rujayb","Palestine",3914,32.18,35.3,0
"Rummanah","Palestine",3370,32.52,35.21,0
"Sa'ir","Palestine",13420,31.59,35.15,0
"Sabastiyah","Palestine",2904,32.28,35.2,0
"Saffa","Palestine",4040,31.9,35.07,0
"Salfit","Palestine",9740,32.09,35.18,0
"Salim","Palestine",5081,32.21,35.33,0
"Sanniriya","Palestine",2986,32.13,35.05,0
"Sanur","Palestine",4262,32.36,35.25,0
"Sarrah","Palestine",2890,32.21,35.19,0
"Sartah","Palestine",2609,32.1,35.09,0
"Sayda","Palestine",3074,32.39,35.12,0
"Silat al-Haritiyah","Palestine",9832,32.51,35.23,0
"Silat az-Zahr","Palestine",6256,32.32,35.18,0
"Silwad","Palestine",7249,31.98,35.27,0
"Sinjil","Palestine",5557,32.03,35.27,0
"Siris","Palestine",5040,32.33,35.29,0
"Suqba","Palestine",4334,31.98,35.03,0
"Surif","Palestine",13414,31.65,35.07,0
"Taffuh","Palestine",9788,31.53,35.05,0
"Talfit","Palestine",2989,32.08,35.29,0
"Tall","Palestine",4736,32.2,35.21,0
"Tall as-Sultan","Palestine",24359,31.87,35.43,0
"Talluzah","Palestine",2678,32.27,35.29,0
"Tammun","Palestine",10411,32.28,35.38,0
"Tarqumiya","Palestine",14662,31.58,35.02,0
"Tayasir","Palestine",2396,32.34,35.4,0
"Tubas","Palestine",16004,32.33,35.36,0
"Tulkarm","Palestine",45285,32.32,35.04,0
"Tuqu'","Palestine",6666,31.64,35.22,0
"Turmus'ayya","Palestine",4447,32.03,35.28,0
"Ya'bad","Palestine",14414,32.44,35.17,0
"Yasid","Palestine",2289,32.29,35.28,0
"Yatma","Palestine",2980,32.11,35.27,0
"Yatta","Palestine",42738,31.46,35.12,0
"Za'tarah","Palestine",5373,31.67,35.25,0
"Zayta","Palestine",3141,32.38,35.05,0
"Zububa","Palestine",2123,32.55,35.22,0
"ad-Duhaysah","Palestine",9393,31.68,35.17,0
"al-'Araqah","Palestine",2123,32.48,35.21,0
"al-'Arrub","Palestine",8343,31.62,35.13,0
"al-'Awja","Palestine",4009,31.95,35.4,0
"al-'Ayzariyah","Palestine",16337,31.77,35.27,0
"al-'Ubaydiyah","Palestine",8556,31.74,35.29,0
"al-Am'arri","Palestine",5715,31.89,35.21,0
"al-Bayuk","Palestine",5642,31.27,34.26,0
"al-Birah","Palestine",39455,31.91,35.21,0
"al-Burayj","Palestine",36171,31.43,34.4,0
"al-Burj","Palestine",2459,31.45,34.9,0
"al-Fandaqumiyah","Palestine",3361,32.32,35.2,0
"al-Far'ah","Palestine",5742,32.3,35.35,0
"al-Fawwar","Palestine",6726,31.48,35.07,0
"al-Hadr","Palestine",9280,31.7,35.17,0
"al-Jalamah","Palestine",2304,32.52,35.32,0
"al-Jalazun","Palestine",8679,31.95,35.22,0
"al-Jib","Palestine",4416,31.85,35.18,0
"al-Jiftlik","Palestine",4398,32.15,35.43,0
"al-Judaydah","Palestine",4875,32.34,35.3,0
"al-Judayrah","Palestine",2019,31.87,35.21,0
"al-Karmil","Palestine",2929,31.42,35.18,0
"al-Lubban as-Sarqiyah","Palestine",2498,32.07,35.24,0
"al-Magazi","Palestine",24237,31.42,34.38,0
"al-Mazra'ah al-Qibliyah","Palestine",3667,31.95,35.15,0
"al-Mazra'ah as-Sarqiyah","Palestine",5170,32,35.27,0
"al-Mugayyir","Palestine",2238,32.42,35.38,0
"al-Mugayyir","Palestine",2409,32.02,35.34,0
"al-Qubaybah","Palestine",1969,31.83,35.13,0
"al-Yamun","Palestine",16625,32.48,35.23,0
"an-Nusayrat","Palestine",64080,31.46,34.38,0
"ar-Ram","Palestine",25559,31.85,35.24,0
"ar-Rihiyah","Palestine",3478,31.47,35.08,0
"as-Samu'","Palestine",17913,31.4,35.07,0
"as-Sawiyah","Palestine",2299,32.08,35.27,0
"as-Suyuh","Palestine",8436,31.58,35.15,0
"at-Taybah","Palestine",2124,31.95,35.3,0
"at-Taybah","Palestine",2385,32.52,35.18,0
"az-Zababidah","Palestine",3860,32.38,35.32,0
"az-Zahiriyah","Palestine",28501,31.42,34.97,0
"az-Zawiyah","Palestine",5072,32.1,35.04,0
